,arabic,bangla,chinese_any,english,french,mandarin,spanish
arabic,1.0,0.5618877432279151,0.4634314255286369,0.5182858242004543,0.30278080002756413,0.4314627726352782,0.47565891321227055
bangla,0.5618877432279151,1.0,0.5179212254686862,0.5476055223096443,0.3684464089328525,0.48504042534515995,0.5143763875202535
chinese_any,0.4634314255286369,0.5179212254686862,1.0,0.6132307348279803,0.24789133838977065,0.7975166388420384,0.5369707284676785
english,0.5182858242004543,0.5476055223096443,0.6132307348279803,1.0,0.3843223455316013,0.5683813109785906,0.7101065332618481
french,0.30278080002756413,0.3684464089328525,0.24789133838977062,0.38432234553160133,1.0,0.20430482389774052,0.35200922127566064
mandarin,0.43146277263527816,0.4850404253451599,0.7975166388420384,0.5683813109785906,0.20430482389774052,1.0,0.46459893867722346
spanish,0.47565891321227055,0.5143763875202535,0.5369707284676785,0.7101065332618481,0.3520092212756606,0.46459893867722346,1.0
