School DBN,School Name,School District,Total Applicants,True Applicants,Ratio,Rank
17K600,Clara Barton High School,17,1276.0,355.0,98.76567398119123,84
03M417,Frank McCourt High School,3,1253.0,345.0,94.99201915403033,85
27Q262,Channel View School for Research,27,755.0,267.0,94.42251655629138,86
01M450,East Side Community School,1,1142.0,328.0,94.20665499124344,87
21K690,Brooklyn Studio Secondary School,21,844.0,281.0,93.55568720379146,88
27Q480,John Adams High School,27,2490.0,480.0,92.53012048192771,89
30Q450,Long Island City High School,30,1827.0,403.0,88.89381499726328,90
01M448,University Neighborhood High School,1,2248.0,447.0,88.88300711743773,91
31R445,Port Richmond High School,31,1267.0,334.0,88.04735595895816,92
10X437,Fordham High School for the Arts,10,1826.0,399.0,87.1856516976999,93
11X542,Pelham Preparatory Academy,11,2331.0,448.0,86.10210210210211,94
10X368,In-Tech Academy (M.S. / High School 368),10,707.0,244.0,84.20933521923621,95
24Q485,Grover Cleveland High School,24,1552.0,359.0,83.04188144329896,96
02M407,Institute for Collaborative Education,2,836.0,263.0,82.73803827751196,97
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),10,2279.0,431.0,81.50987275120667,98
06M540,A. Philip Randolph Campus High School,6,2050.0,408.0,81.2019512195122,99
26Q315,Business Technology Early College High School,26,1032.0,289.0,80.9312015503876,100
11X455,Harry S Truman High School,11,1891.0,390.0,80.43363299841354,101
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",26,671.0,231.0,79.52459016393442,102
12X242,Mott Hall V,12,1001.0,282.0,79.44455544455545,103
08X405,Herbert H. Lehman High School,8,2078.0,405.0,78.93407122232917,104
30Q258,Energy Tech High School,30,1535.0,348.0,78.89511400651466,105
30Q301,Academy for Careers in Television and Film,30,1410.0,330.0,77.23404255319149,106
02M546,Academy for Software Engineering,2,1992.0,388.0,75.57429718875503,107
24Q293,Civic Leadership Academy,24,1157.0,291.0,73.19014693171997,108
10X438,Fordham Leadership Academy,10,2416.0,416.0,71.62913907284768,109
09X327,Comprehensive Model School Project M.S. 327,9,706.0,224.0,71.07082152974505,110
15K667,Sunset Park High School,15,989.0,260.0,68.35187057633973,111
02M551,Urban Assembly New York Harbor School,2,724.0,221.0,67.45994475138122,112
32K554,All City Leadership Secondary School,32,911.0,247.0,66.96926454445664,113
09X365,Academy for Language and Technology,9,773.0,224.0,64.91073738680466,114
25Q670,Robert F. Kennedy Community High School,25,1012.0,254.0,63.75098814229249,115
31R600,Ralph R. McKee Career and Technical Education High School,31,620.0,198.0,63.23225806451613,116
02M400,High School for Environmental Studies,2,2558.0,395.0,60.994917904612976,117
19K409,East New York Family Academy,19,416.0,159.0,60.77163461538461,118
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,1239.0,274.0,60.59402744148507,119
29Q498,"Health, Arts, Robotics, and Technology High School",29,1435.0,293.0,59.82508710801394,120
02M507,Urban Assembly Gateway School for Technology,2,1299.0,278.0,59.4949961508853,121
09X505,"Bronx School for Law, Government and Justice",9,1132.0,259.0,59.25883392226148,122
25Q285,World Journalism Preparatory: A College Board School,25,448.0,162.0,58.580357142857146,123
09X231,Eagle Academy for Young Men,9,455.0,163.0,58.393406593406596,124
23K644,Eagle Academy for Young Men II,23,554.0,179.0,57.835740072202164,125
25Q263,Flushing International High School,25,576.0,182.0,57.50694444444444,126
11X288,Collegiate Institute for Math and Science,11,1764.0,317.0,56.96655328798186,127
02M288,Food and Finance High School,2,1225.0,264.0,56.89469387755102,128
03M859,Special Music School,3,482.0,165.0,56.483402489626556,129
21K344,Rachel Carson High School for Coastal Studies,21,469.0,162.0,55.95735607675906,130
02M542,Manhattan Bridges High School,2,904.0,224.0,55.50442477876106,131
14K610,A-Tech High School,14,1273.0,264.0,54.74941084053417,132
24Q296,Pan American International High School,24,508.0,166.0,54.24409448818898,133
07X223,The Laboratory School of Finance and Technology: X223,7,980.0,230.0,53.97959183673469,134
30Q286,"Young Women's Leadership School, Astoria",30,453.0,156.0,53.72185430463576,135
22K611,Origins High School,22,296.0,126.0,53.63513513513514,136
02M393,Business Of Sports School,2,1151.0,248.0,53.43527367506516,137
11X299,Astor Collegiate Academy,11,2199.0,342.0,53.18963165075034,138
30Q445,William Cullen Bryant High School,30,1681.0,297.0,52.47412254610351,139
25Q460,Flushing High School,25,1592.0,289.0,52.46293969849246,140
14K558,Williamsburg High School for Architecture and Design,14,1223.0,253.0,52.337694194603436,141
