school,mean_rank,rank_variance,num_languages,min_rank,max_rank,School DBN,School Name
03M492,136.14285714285714,2859.1428571428573,7,24.0,180.0,03M492,"High School for Law, Advocacy and Community Justice"
02M531,197.0,2858.0,7,145.0,259.0,02M531,Repertory Company High School for Theatre Arts
24Q560,157.28571428571428,2809.904761904762,7,96.0,227.0,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology"
21K572,174.85714285714286,2797.8095238095234,7,113.0,241.0,21K572,Leaders High School
13K595,84.85714285714286,2789.476190476191,7,42.0,200.0,13K595,Bedford Academy High School
03M610,154.42857142857142,2760.6190476190477,7,102.0,266.0,03M610,Young Women's Leadership School
02M374,205.71428571428572,2736.571428571429,7,144.0,259.0,02M374,Gramercy Arts High School
19K639,171.14285714285714,2682.4761904761904,7,73.0,228.0,19K639,Brooklyn Lab School
12X478,159.71428571428572,2664.9047619047624,7,86.0,259.0,12X478,The Cinema School
09X227,190.85714285714286,2662.476190476191,7,127.0,259.0,09X227,Bronx Collegiate Academy
30Q286,111.0,2652.3333333333335,7,42.0,161.0,30Q286,"Young Women's Leadership School, Astoria"
11X288,113.71428571428571,2631.238095238095,7,29.0,168.0,11X288,Collegiate Institute for Math and Science
29Q326,200.57142857142858,2611.6190476190473,7,144.0,263.0,29Q326,Cambria Heights Academy
02M139,201.85714285714286,2577.1428571428573,7,144.0,259.0,02M139,Stephen T. Mather Building Arts & Craftsmanship High School
10X434,171.14285714285714,2575.1428571428573,7,85.0,241.0,10X434,Belmont Preparatory High School
09X568,168.28571428571428,2547.238095238095,7,104.0,259.0,09X568,Young Women's Leadership School of the Bronx
14K071,197.28571428571428,2524.5714285714284,7,144.0,260.0,14K071,Juan Morel Campos Secondary School
10X228,175.85714285714286,2505.4761904761904,7,141.0,259.0,10X228,Jonas Bronck Academy
12X641,60.857142857142854,2500.142857142857,7,6.0,148.0,12X641,Bard High School Early College Bronx
07X548,143.57142857142858,2488.9523809523807,7,85.0,241.0,07X548,Careers in Sports High School
19K409,162.28571428571428,2455.2380952380954,7,93.0,259.0,19K409,East New York Family Academy
14K488,190.85714285714286,2455.1428571428573,7,144.0,259.0,14K488,Brooklyn Preparatory High School
22K535,40.142857142857146,2452.8095238095243,7,5.0,144.0,22K535,Leon M. Goldstein High School for the Sciences
03M415,199.42857142857142,2421.952380952381,7,144.0,259.0,03M415,Wadleigh Secondary School for the Performing & Visual Arts
19K615,151.57142857142858,2395.285714285714,7,73.0,215.0,19K615,Transit Tech Career and Technical Education High School
30Q445,115.71428571428571,2389.571428571429,7,58.0,194.0,30Q445,William Cullen Bryant High School
24Q485,118.42857142857143,2382.952380952381,7,49.0,184.0,24Q485,Grover Cleveland High School
07X500,181.42857142857142,2291.6190476190477,7,144.0,259.0,07X500,Hostos-Lincoln Academy of Science
24Q610,38.714285714285715,2283.9047619047615,7,9.0,144.0,24Q610,Aviation Career & Technical Education High School
06M540,141.14285714285714,2255.8095238095243,7,74.0,223.0,06M540,A. Philip Randolph Campus High School
19K618,139.14285714285714,2231.8095238095234,7,81.0,211.0,19K618,Academy of Innovative Technology
30Q580,45.42857142857143,2227.6190476190477,7,11.0,144.0,30Q580,Baccalaureate School for Global Education
