School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M605,Humanities Preparatory Academy,2,1,42,6,861,101,75,-2,0.8571428571428571,56
03M291,West End Secondary School,3,1,7,1,1209,392,105,146,0.14285714285714285,156
03M307,"Urban Assembly School for Media Studies, The",3,1,7,1,328,71,126,109,0.14285714285714285,156
14K454,The Williamsburg High School of Art and Technology,14,1,7,1,893,129,116,120,0.14285714285714285,156
02M305,"Urban Assembly Academy of Government and Law, The",2,1,67,9,573,75,100,-2,1.208955223880597,53
01M458,Forsyth Satellite Academy,1,1,8,1,60,12,28,-2,0.125,161
02M392,Manhattan Business Academy,2,1,64,8,1321,191,161,-2,1.0,55
02M449,Vanguard High School,2,1,8,1,701,134,110,158,0.125,161
13K483,The Urban Assembly School for Law and Justice,13,1,8,1,593,105,115,-2,0.125,161
02M394,Emma Lazarus High School,2,1,9,1,134,19,60,-1,0.1111111111111111,164
02M459,Manhattan International High School,2,1,9,1,738,151,85,73,0.1111111111111111,164
06M540,A. Philip Randolph Campus High School,6,1,9,1,2050,408,471,379,0.1111111111111111,164
14K558,Williamsburg High School for Architecture and Design,14,1,9,1,1223,253,155,212,0.1111111111111111,164
02M298,Pace High School,2,1,102,11,1172,169,190,177,1.1862745098039216,54
02M533,Union Square Academy for Health Sciences,2,1,20,2,834,154,163,143,0.2,149
03M492,"High School for Law, Advocacy and Community Justice",3,1,10,1,920,170,220,-2,0.1,168
02M374,Gramercy Arts High School,2,1,31,3,1038,129,204,78,0.2903225806451613,139
02M399,The High School For Language And Diplomacy,2,1,11,1,385,36,134,-2,0.09090909090909091,169
03M417,Frank McCourt High School,3,1,11,1,1253,345,120,170,0.09090909090909091,169
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13,1,11,1,909,111,258,143,0.09090909090909091,169
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,1,11,1,1239,274,108,160,0.09090909090909091,169
02M422,Quest to Learn,2,1,13,1,177,27,108,41,0.07692307692307693,173
13K605,George Westinghouse Career and Technical Education High School,13,1,13,1,1254,203,254,194,0.07692307692307693,173
02M520,Murry Bergtraum High School for Business Careers,2,1,14,1,222,38,240,-2,0.07142857142857142,175
02M432,Murray Hill Academy,2,1,15,1,558,76,90,-2,0.06666666666666667,176
02M546,Academy for Software Engineering,2,1,61,4,1992,388,125,201,0.26229508196721313,140
02M047,47 The American Sign Language and English Secondary School,2,1,16,1,318,55,69,-2,0.0625,177
02M303,"Facing History School, The",2,1,16,1,421,87,107,-2,0.0625,177
02M425,Leadership and Public Service High School,2,1,16,1,387,36,145,52,0.0625,177
02M500,Unity Center for Urban Technologies,2,1,16,1,274,48,95,136,0.0625,177
02M615,Chelsea Career and Technical Education High School,2,1,51,3,821,118,152,-2,0.17647058823529413,151
03M494,High School of Arts and Technology,3,1,17,1,1037,132,140,-2,0.058823529411764705,181
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,1,19,1,432,88,108,-2,0.05263157894736842,182
02M419,Landmark High School,2,1,28,1,457,37,100,-2,0.03571428571428571,183
02M400,High School for Environmental Studies,2,1,29,1,2558,395,344,385,0.034482758620689655,184
02M580,Richard R. Green High School of Teaching,2,1,29,1,1291,154,160,-2,0.034482758620689655,184
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,1,31,1,510,116,122,-2,0.03225806451612903,186
02M437,Hudson High School of Learning Technologies,2,1,37,1,353,48,119,-2,0.02702702702702703,187
02M534,Harvest Collegiate High School,2,1,68,1,1116,115,116,-2,0.014705882352941176,188
05M148,Eagle Academy for Young Men of Harlem,5,2,4,4,257,46,120,88,4.0,53
05M369,Urban Assembly School for the Performing Arts,5,2,1,1,372,52,108,-2,1.0,279
06M346,Community Health Academy of the Heights,6,2,1,1,586,143,75,93,1.0,279
07X223,The Laboratory School of Finance and Technology: X223,7,2,1,1,980,230,89,93,1.0,279
08X269,Bronx Studio School for Writers and Artists,8,2,1,1,481,130,90,113,1.0,279
08X376,Antonia Pantoja Preparatory Academy: A College Board School,8,2,1,1,308,82,84,104,1.0,279
08X432,Bronx Bridges High School,8,2,1,1,454,83,81,70,1.0,279
08X452,Gotham Collaborative High School,8,2,1,1,343,51,120,-2,1.0,279
08X561,Bronx Compass High School,8,2,1,1,520,70,130,-2,1.0,279
08X636,Virtual Innovators Academy,8,2,2,2,113,31,80,-2,2.0,76
09X227,Bronx Collegiate Academy,9,2,1,1,1201,163,120,173,1.0,279
09X252,Mott Hall Bronx High School,9,2,1,1,1138,141,90,130,1.0,279
09X327,Comprehensive Model School Project M.S. 327,9,2,1,1,706,224,90,103,1.0,279
09X564,Claremont International HS,9,2,1,1,412,50,81,25,1.0,279
10X225,Theatre Arts Production Company School,10,2,1,1,633,88,170,-2,1.0,279
10X243,West Bronx Academy for the Future,10,2,1,1,917,136,90,109,1.0,279
10X264,Bronx Academy for Software Engineering (BASE),10,2,1,1,1199,175,120,165,1.0,279
10X437,Fordham High School for the Arts,10,2,1,1,1826,399,130,158,1.0,279
10X439,Bronx High School for Law and Community Service,10,2,1,1,1467,220,108,163,1.0,279
10X549,Discovery High School,10,2,1,1,716,95,108,135,1.0,279
11X265,Bronx Lab School,11,2,2,2,381,47,123,-2,2.0,76
11X290,Bronx Academy of Health Careers,11,2,1,1,897,90,108,-2,1.0,279
11X418,Bronx High School for the Visual Arts,11,2,1,1,951,168,102,136,1.0,279
11X513,New World High School,11,2,1,1,625,129,108,69,1.0,279
11X514,The Bronxwood Preparatory Academy,11,2,1,1,668,93,120,150,1.0,279
12X242,Mott Hall V,12,2,1,1,1001,282,81,91,1.0,279
12X251,Explorations Academy H.S.,12,2,1,1,476,39,117,-2,1.0,279
12X446,Arturo A. Schomburg Satellite Academy Bronx,12,2,1,1,222,33,40,24,1.0,279
12X479,Bronx Career and College Preparatory High School,12,2,1,1,321,28,81,-2,1.0,279
12X511,Bronx Envision Academy,12,2,1,1,459,44,108,-2,1.0,279
12X521,The Metropolitan Soundview High School,12,2,1,1,453,67,120,74,1.0,279
12X682,Fannie Lou Hamer Freedom High School,12,2,1,1,388,73,110,83,1.0,279
14K614,Young Women's Leadership School of Brooklyn,14,2,1,1,251,47,93,59,1.0,279
15K464,Park Slope Collegiate,15,2,1,1,613,115,102,130,1.0,279
16K688,The Brooklyn Academy of Global Finance,16,2,2,2,469,56,108,-2,2.0,76
17K524,International High School at Prospect Heights,17,2,2,2,338,61,108,45,2.0,76
17K537,High School for Youth and Community Development at Erasmus,17,2,1,1,488,82,140,-2,1.0,279
17K548,Brooklyn School for Music & Theatre,17,2,1,1,522,74,108,-2,1.0,279
17K745,Brooklyn Institute for Liberal Arts,17,2,1,1,761,109,175,158,1.0,279
18K576,Victory Collegiate High School,18,2,1,1,305,61,140,-2,1.0,279
18K617,High School for Innovation in Advertising and Media,18,2,1,1,522,101,81,91,1.0,279
18K633,High School for Medical Professions,18,2,1,1,666,99,108,116,1.0,279
19K764,The Urban Assembly School for Collaborative Healthcare,19,2,1,1,419,71,81,-2,1.0,279
22K425,James Madison High School,22,2,1,1,6968,2801,837,940,1.0,279
24Q236,International High School for Health Sciences,24,2,1,1,485,112,81,68,1.0,279
24Q267,High School of Applied Communication,24,2,1,1,557,75,145,-2,1.0,279
24Q293,Civic Leadership Academy,24,2,1,1,1157,291,142,191,1.0,279
25Q241,Queens High School for Language Studies,25,2,3,3,371,90,125,76,3.0,59
25Q252,"Queens School of Inquiry, The",25,2,1,1,508,161,89,107,1.0,279
25Q263,Flushing International High School,25,2,1,1,576,182,90,90,1.0,279
25Q281,East-West School of International Studies,25,2,1,1,766,290,89,113,1.0,279
25Q670,Robert F. Kennedy Community High School,25,2,1,1,1012,254,150,223,1.0,279
26Q415,Benjamin N. Cardozo High School,26,2,1,1,4527,1666,684,926,1.0,279
26Q435,Martin Van Buren High School,26,2,1,1,1084,217,352,273,1.0,279
26Q495,Bayside High School,26,2,1,1,6914,2765,851,1041,1.0,279
27Q302,"Queens High School for Information, Research, and Technology",27,2,1,1,671,160,130,177,1.0,279
27Q308,Robert H. Goddard High School of Communication Arts and Technology,27,2,1,1,1222,468,140,181,1.0,279
27Q323,Scholars' Academy,27,2,1,1,1065,580,154,186,1.0,279
28Q167,Metropolitan Expeditionary Learning School,28,2,1,1,1254,467,125,141,1.0,279
28Q350,Jamaica Gateway to the Sciences,28,2,2,2,1005,210,150,184,2.0,76
28Q896,"Young Women's Leadership School, Queens",28,2,1,1,350,99,81,119,1.0,279
29Q243,Institute for Health Professions at Cambria Heights,29,2,1,1,416,79,108,132,1.0,279
29Q498,"Health, Arts, Robotics, and Technology High School",29,2,1,1,1435,293,196,264,1.0,279
30Q502,Information Technology High School,30,2,1,1,944,190,227,-2,1.0,279
30Q555,Newcomers High School,30,2,1,1,559,166,81,107,1.0,279
31R064,Gaynor McCown Expeditionary Learning School,31,2,1,1,777,364,146,171,1.0,279
31R600,Ralph R. McKee Career and Technical Education High School,31,2,1,1,620,198,316,180,1.0,279
32K168,The Brooklyn School for Math and Research,32,2,1,1,710,99,108,148,1.0,279
32K403,Academy for Excellence in Leadership,32,2,1,1,653,76,108,-2,1.0,279
32K545,EBC High School for Public Service - Bushwick,32,2,1,1,467,75,126,-2,1.0,279
32K554,All City Leadership Secondary School,32,2,2,2,911,247,62,62,2.0,76
02M416,Eleanor Roosevelt High School,2,2,1292,878,7699,3749,136,224,596.6594427244582,1
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13,2,3,2,362,54,82,-2,1.3333333333333333,90
21K410,Abraham Lincoln High School,21,2,3,2,2225,539,741,604,1.3333333333333333,90
24Q520,Middle College High School at LaGuardia Community College,24,2,6,4,1826,552,97,118,2.6666666666666665,61
25Q525,Townsend Harris High School,25,2,143,94,6780,4957,290,374,61.79020979020979,15
03M479,Beacon High School,3,2,1232,789,7891,4442,360,493,505.2930194805195,2
01M539,"New Explorations into Science, Technology and Math High School",1,2,821,519,3743,2047,150,289,328.088915956151,3
01M696,Bard High School Early College,1,2,549,347,3946,2196,125,198,219.32422586520948,7
12X641,Bard High School Early College Bronx,12,2,15,9,1391,613,100,106,5.4,48
