School DBN,School Name,School District,Home Borough,Total Applicants Borough,True Applicants Borough,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M135,The Urban Assembly Early College High School for Emergency Medicine,2,Unknown,2,2.0,510,116.0,122,6,1.0,1
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Bronx,89,23.0,432,88.0,108,6,0.25842696629213485,250
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Brooklyn,30,23.0,432,88.0,108,6,0.7666666666666667,165
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Manhattan,194,40.0,432,88.0,108,6,0.20618556701030927,346
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Queens,27,17.0,432,88.0,108,6,0.6296296296296297,224
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Staten Island,2,2.0,432,88.0,108,6,1.0,1
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,Unknown,2,2.0,432,88.0,108,6,1.0,1
02M260,The Clinton School,2,Bronx,211,34.0,2837,1151.0,134,221,0.16113744075829384,324
02M260,The Clinton School,2,Brooklyn,722,252.0,2837,1151.0,134,221,0.3490304709141274,249
02M260,The Clinton School,2,Manhattan,1637,718.0,2837,1151.0,134,221,0.43860720830788025,279
02M260,The Clinton School,2,Queens,145,51.0,2837,1151.0,134,221,0.35172413793103446,301
02M260,The Clinton School,2,Staten Island,6,6.0,2837,1151.0,134,221,1.0,1
02M260,The Clinton School,2,Unknown,38,12.0,2837,1151.0,134,221,0.3157894736842105,109
02M280,Manhattan Early College School for Advertising,2,Bronx,154,29.0,572,88.0,112,6,0.18831168831168832,294
02M280,Manhattan Early College School for Advertising,2,Brooklyn,99,30.0,572,88.0,112,6,0.30303030303030304,268
02M280,Manhattan Early College School for Advertising,2,Manhattan,192,38.0,572,88.0,112,6,0.19791666666666666,348
02M280,Manhattan Early College School for Advertising,2,Queens,20,20.0,572,88.0,112,6,1.0,1
02M280,Manhattan Early College School for Advertising,2,Staten Island,5,5.0,572,88.0,112,6,1.0,1
02M280,Manhattan Early College School for Advertising,2,Unknown,7,2.0,572,88.0,112,6,0.2857142857142857,121
02M282,Urban Assembly Maker Academy,2,Bronx,158,28.0,1074,175.0,150,216,0.17721518987341772,312
02M282,Urban Assembly Maker Academy,2,Brooklyn,402,64.0,1074,175.0,150,216,0.15920398009950248,366
02M282,Urban Assembly Maker Academy,2,Manhattan,342,57.0,1074,175.0,150,216,0.16666666666666666,358
02M282,Urban Assembly Maker Academy,2,Queens,37,27.0,1074,175.0,150,216,0.7297297297297297,220
02M282,Urban Assembly Maker Academy,2,Staten Island,6,6.0,1074,175.0,150,216,1.0,1
02M282,Urban Assembly Maker Academy,2,Unknown,16,3.0,1074,175.0,150,216,0.1875,175
02M288,Food and Finance High School,2,Bronx,339,49.0,1225,264.0,150,211,0.14454277286135694,342
02M288,Food and Finance High School,2,Brooklyn,159,38.0,1225,264.0,150,211,0.2389937106918239,306
02M288,Food and Finance High School,2,Manhattan,417,62.0,1225,264.0,150,211,0.1486810551558753,369
02M288,Food and Finance High School,2,Queens,190,59.0,1225,264.0,150,211,0.3105263157894737,318
02M288,Food and Finance High School,2,Staten Island,2,2.0,1225,264.0,150,211,1.0,1
02M288,Food and Finance High School,2,Unknown,24,5.0,1225,264.0,150,211,0.20833333333333334,165
02M294,Essex Street Academy,2,Bronx,190,31.0,2478,562.0,90,125,0.1631578947368421,322
02M294,Essex Street Academy,2,Brooklyn,1139,279.0,2478,562.0,90,125,0.24495171202809482,300
02M294,Essex Street Academy,2,Manhattan,899,137.0,2478,562.0,90,125,0.15239154616240266,367
02M294,Essex Street Academy,2,Queens,117,36.0,2478,562.0,90,125,0.3076923076923077,319
02M294,Essex Street Academy,2,Staten Island,6,6.0,2478,562.0,90,125,1.0,1
02M294,Essex Street Academy,2,Unknown,38,9.0,2478,562.0,90,125,0.23684210526315788,150
02M296,High School of Hospitality Management,2,Bronx,42,19.0,269,35.0,135,6,0.4523809523809524,207
02M296,High School of Hospitality Management,2,Brooklyn,12,12.0,269,35.0,135,6,1.0,1
02M296,High School of Hospitality Management,2,Manhattan,81,19.0,269,35.0,135,6,0.2345679012345679,334
02M296,High School of Hospitality Management,2,Queens,63,15.0,269,35.0,135,6,0.23809523809523808,361
02M296,High School of Hospitality Management,2,Unknown,3,3.0,269,35.0,135,6,1.0,1
02M298,Pace High School,2,Bronx,227,30.0,1172,169.0,190,177,0.13215859030837004,366
02M298,Pace High School,2,Brooklyn,317,44.0,1172,169.0,190,177,0.138801261829653,383
02M298,Pace High School,2,Manhattan,425,47.0,1172,169.0,190,177,0.11058823529411765,377
02M298,Pace High School,2,Queens,81,30.0,1172,169.0,190,177,0.37037037037037035,293
02M298,Pace High School,2,Staten Island,7,7.0,1172,169.0,190,177,1.0,1
02M298,Pace High School,2,Unknown,13,4.0,1172,169.0,190,177,0.3076923076923077,113
02M300,"Urban Assembly School of Design and Construction, The",2,Bronx,58,21.0,346,43.0,108,6,0.3620689655172414,220
02M300,"Urban Assembly School of Design and Construction, The",2,Brooklyn,37,21.0,346,43.0,108,6,0.5675675675675675,191
02M300,"Urban Assembly School of Design and Construction, The",2,Manhattan,108,25.0,346,43.0,108,6,0.23148148148148148,337
02M300,"Urban Assembly School of Design and Construction, The",2,Queens,43,18.0,346,43.0,108,6,0.4186046511627907,271
02M300,"Urban Assembly School of Design and Construction, The",2,Staten Island,1,1.0,346,43.0,108,6,1.0,196
02M300,"Urban Assembly School of Design and Construction, The",2,Unknown,20,2.0,346,43.0,108,6,0.1,219
02M303,"Facing History School, The",2,Bronx,122,27.0,421,87.0,107,6,0.22131147540983606,266
02M303,"Facing History School, The",2,Brooklyn,16,16.0,421,87.0,107,6,1.0,1
02M303,"Facing History School, The",2,Manhattan,230,42.0,421,87.0,107,6,0.1826086956521739,356
02M303,"Facing History School, The",2,Queens,14,14.0,421,87.0,107,6,1.0,1
02M303,"Facing History School, The",2,Staten Island,2,2.0,421,87.0,107,6,1.0,1
02M303,"Facing History School, The",2,Unknown,2,2.0,421,87.0,107,6,1.0,1
02M305,"Urban Assembly Academy of Government and Law, The",2,Bronx,82,22.0,573,75.0,100,6,0.2682926829268293,246
02M305,"Urban Assembly Academy of Government and Law, The",2,Brooklyn,153,46.0,573,75.0,100,6,0.3006535947712418,270
02M305,"Urban Assembly Academy of Government and Law, The",2,Manhattan,165,35.0,573,75.0,100,6,0.21212121212121213,344
02M305,"Urban Assembly Academy of Government and Law, The",2,Queens,49,27.0,573,75.0,100,6,0.5510204081632653,241
02M305,"Urban Assembly Academy of Government and Law, The",2,Staten Island,4,4.0,573,75.0,100,6,1.0,1
02M305,"Urban Assembly Academy of Government and Law, The",2,Unknown,8,3.0,573,75.0,100,6,0.375,95
02M308,Lower Manhattan Arts Academy,2,Bronx,79,22.0,524,69.0,95,6,0.27848101265822783,242
02M308,Lower Manhattan Arts Academy,2,Brooklyn,106,32.0,524,69.0,95,6,0.3018867924528302,269
02M308,Lower Manhattan Arts Academy,2,Manhattan,189,44.0,524,69.0,95,6,0.2328042328042328,336
02M308,Lower Manhattan Arts Academy,2,Queens,31,26.0,524,69.0,95,6,0.8387096774193549,206
