School DBN,School Name,School District,Home Zip Code,Total Applicants Zip,True Applicants Zip,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
01M292,Orchard Collegiate Academy,1,11421,1,1.0,280,71.0,90,6,1.0,111
01M292,Orchard Collegiate Academy,1,11434,1,1.0,280,71.0,90,6,1.0,107
01M292,Orchard Collegiate Academy,1,11692,1,1.0,280,71.0,90,6,1.0,60
01M448,University Neighborhood High School,1,10001,12,1.0,2248,447.0,125,185,0.08333333333333333,51
01M448,University Neighborhood High School,1,10002,221,53.0,2248,447.0,125,185,12.710407239819004,11
01M448,University Neighborhood High School,1,10003,20,1.0,2248,447.0,125,185,0.05,33
01M448,University Neighborhood High School,1,10004,10,1.0,2248,447.0,125,185,0.1,13
01M448,University Neighborhood High School,1,10005,9,1.0,2248,447.0,125,185,0.1111111111111111,16
01M448,University Neighborhood High School,1,10006,6,1.0,2248,447.0,125,185,0.16666666666666666,1
01M448,University Neighborhood High School,1,10007,8,1.0,2248,447.0,125,185,0.125,9
01M448,University Neighborhood High School,1,10009,65,10.0,2248,447.0,125,185,1.5384615384615385,26
01M448,University Neighborhood High School,1,10010,31,9.0,2248,447.0,125,185,2.6129032258064515,17
01M448,University Neighborhood High School,1,10011,15,1.0,2248,447.0,125,185,0.06666666666666667,33
01M448,University Neighborhood High School,1,10012,12,1.0,2248,447.0,125,185,0.08333333333333333,20
01M448,University Neighborhood High School,1,10013,36,7.0,2248,447.0,125,185,1.3611111111111112,18
01M448,University Neighborhood High School,1,10014,11,1.0,2248,447.0,125,185,0.09090909090909091,22
01M448,University Neighborhood High School,1,10016,21,1.0,2248,447.0,125,185,0.047619047619047616,44
01M448,University Neighborhood High School,1,10017,1,1.0,2248,447.0,125,185,1.0,44
01M448,University Neighborhood High School,1,10018,6,1.0,2248,447.0,125,185,0.16666666666666666,3
01M448,University Neighborhood High School,1,10019,20,1.0,2248,447.0,125,185,0.05,69
01M448,University Neighborhood High School,1,10021,11,1.0,2248,447.0,125,185,0.09090909090909091,29
01M448,University Neighborhood High School,1,10022,13,1.0,2248,447.0,125,185,0.07692307692307693,26
01M448,University Neighborhood High School,1,10023,14,1.0,2248,447.0,125,185,0.07142857142857142,52
01M448,University Neighborhood High School,1,10024,25,1.0,2248,447.0,125,185,0.04,51
01M448,University Neighborhood High School,1,10025,30,1.0,2248,447.0,125,185,0.03333333333333333,81
01M448,University Neighborhood High School,1,10026,12,1.0,2248,447.0,125,185,0.08333333333333333,58
01M448,University Neighborhood High School,1,10027,16,1.0,2248,447.0,125,185,0.0625,88
01M448,University Neighborhood High School,1,10028,14,1.0,2248,447.0,125,185,0.07142857142857142,34
01M448,University Neighborhood High School,1,10029,67,11.0,2248,447.0,125,185,1.8059701492537314,36
01M448,University Neighborhood High School,1,10030,10,1.0,2248,447.0,125,185,0.1,50
01M448,University Neighborhood High School,1,10031,19,1.0,2248,447.0,125,185,0.05263157894736842,77
01M448,University Neighborhood High School,1,10032,10,1.0,2248,447.0,125,185,0.1,63
01M448,University Neighborhood High School,1,10033,19,1.0,2248,447.0,125,185,0.05263157894736842,73
01M448,University Neighborhood High School,1,10034,21,1.0,2248,447.0,125,185,0.047619047619047616,77
01M448,University Neighborhood High School,1,10035,12,1.0,2248,447.0,125,185,0.08333333333333333,58
01M448,University Neighborhood High School,1,10036,6,1.0,2248,447.0,125,185,0.16666666666666666,24
01M448,University Neighborhood High School,1,10037,1,1.0,2248,447.0,125,185,1.0,69
01M448,University Neighborhood High School,1,10038,47,13.0,2248,447.0,125,185,3.595744680851064,11
01M448,University Neighborhood High School,1,10039,11,1.0,2248,447.0,125,185,0.09090909090909091,52
01M448,University Neighborhood High School,1,10040,13,1.0,2248,447.0,125,185,0.07692307692307693,59
01M448,University Neighborhood High School,1,10044,18,1.0,2248,447.0,125,185,0.05555555555555555,41
01M448,University Neighborhood High School,1,10065,14,1.0,2248,447.0,125,185,0.07142857142857142,39
01M448,University Neighborhood High School,1,10069,1,1.0,2248,447.0,125,185,1.0,28
01M448,University Neighborhood High School,1,10075,11,1.0,2248,447.0,125,185,0.09090909090909091,21
01M448,University Neighborhood High School,1,10128,31,7.0,2248,447.0,125,185,1.5806451612903225,28
01M448,University Neighborhood High School,1,10162,1,1.0,2248,447.0,125,185,1.0,19
01M448,University Neighborhood High School,1,10280,18,1.0,2248,447.0,125,185,0.05555555555555555,21
01M448,University Neighborhood High School,1,10282,1,1.0,2248,447.0,125,185,1.0,29
01M448,University Neighborhood High School,1,10301,1,1.0,2248,447.0,125,185,1.0,31
01M448,University Neighborhood High School,1,10303,1,1.0,2248,447.0,125,185,1.0,22
01M448,University Neighborhood High School,1,10304,1,1.0,2248,447.0,125,185,1.0,33
01M448,University Neighborhood High School,1,10305,1,1.0,2248,447.0,125,185,1.0,29
01M448,University Neighborhood High School,1,10310,1,1.0,2248,447.0,125,185,1.0,20
01M448,University Neighborhood High School,1,10312,1,1.0,2248,447.0,125,185,1.0,21
01M448,University Neighborhood High School,1,10451,13,1.0,2248,447.0,125,185,0.07692307692307693,101
01M448,University Neighborhood High School,1,10452,11,1.0,2248,447.0,125,185,0.09090909090909091,121
01M448,University Neighborhood High School,1,10453,6,1.0,2248,447.0,125,185,0.16666666666666666,80
01M448,University Neighborhood High School,1,10454,8,1.0,2248,447.0,125,185,0.125,62
01M448,University Neighborhood High School,1,10455,8,1.0,2248,447.0,125,185,0.125,64
01M448,University Neighborhood High School,1,10456,22,1.0,2248,447.0,125,185,0.045454545454545456,160
01M448,University Neighborhood High School,1,10457,11,1.0,2248,447.0,125,185,0.09090909090909091,112
01M448,University Neighborhood High School,1,10458,8,1.0,2248,447.0,125,185,0.125,75
01M448,University Neighborhood High School,1,10459,13,1.0,2248,447.0,125,185,0.07692307692307693,110
01M448,University Neighborhood High School,1,10460,11,1.0,2248,447.0,125,185,0.09090909090909091,112
01M448,University Neighborhood High School,1,10461,1,1.0,2248,447.0,125,185,1.0,117
01M448,University Neighborhood High School,1,10462,29,7.0,2248,447.0,125,185,1.6896551724137931,50
01M448,University Neighborhood High School,1,10463,1,1.0,2248,447.0,125,185,1.0,114
01M448,University Neighborhood High School,1,10465,1,1.0,2248,447.0,125,185,1.0,98
01M448,University Neighborhood High School,1,10466,1,1.0,2248,447.0,125,185,1.0,148
01M448,University Neighborhood High School,1,10467,12,1.0,2248,447.0,125,185,0.08333333333333333,109
01M448,University Neighborhood High School,1,10468,15,1.0,2248,447.0,125,185,0.06666666666666667,117
01M448,University Neighborhood High School,1,10469,1,1.0,2248,447.0,125,185,1.0,136
01M448,University Neighborhood High School,1,10471,1,1.0,2248,447.0,125,185,1.0,36
01M448,University Neighborhood High School,1,10472,15,1.0,2248,447.0,125,185,0.06666666666666667,133
01M448,University Neighborhood High School,1,10473,9,1.0,2248,447.0,125,185,0.1111111111111111,87
