School DBN,School Name,School District,Home Zip Code,Total Applicants Zip,True Applicants Zip,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
14K685,El Puente Academy for Peace and Justice,14,11211,24,1.0,134,25.0,70,6,0.0416666666666666,65
15K656,Brooklyn High School of the Arts,15,11211,24,1.0,2104,574.0,254,272,0.0416666666666666,65
14K610,A-Tech High School,14,11211,25,1.0,1273,264.0,224,243,0.04,67
14K474,PROGRESS High School for Professional Careers,14,11211,26,1.0,506,81.0,153,6,0.0384615384615384,68
02M414,N.Y.C. Museum School,2,11211,28,1.0,3022,865.0,150,254,0.0357142857142857,69
14K449,"Brooklyn Latin School, The",14,11211,56,,12486,,170,508,0.0,70
31R605,Staten Island Technical High School,31,11211,8,,8941,,266,294,0.0,70
13K430,Brooklyn Technical High School,13,11211,73,,19904,,1168,1422,0.0,70
02M475,Stuyvesant High School,2,11211,56,,18574,,672,744,0.0,70
10X445,The Bronx High School of Science,10,11211,25,,14091,,598,712,0.0,70
10X696,High School of American Studies at Lehman College,10,11211,12,,11323,,77,111,0.0,70
28Q687,Queens High School for the Sciences at York College,28,11211,21,,11824,,104,139,0.0,70
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,3,11211,25,,3950,,529,796,0.0,70
05M692,"High School for Mathematics, Science and Engineering at City College",5,11211,26,,15039,,109,142,0.0,70
32K403,Academy for Excellence in Leadership,32,11211,1,1.0,653,76.0,108,6,1.0,79
19K615,Transit Tech Career and Technical Education High School,19,11211,1,1.0,1168,225.0,315,6,1.0,79
19K618,Academy of Innovative Technology,19,11211,1,1.0,1048,183.0,115,169,1.0,79
19K639,Brooklyn Lab School,19,11211,1,1.0,980,152.0,102,143,1.0,79
19K659,Cypress Hills Collegiate Preparatory School,19,11211,1,1.0,581,86.0,99,6,1.0,79
23K493,Brooklyn Collegiate: A College Board School,23,11211,1,1.0,727,113.0,120,6,1.0,79
19K660,W. H. Maxwell Career and Technical Education High School,19,11211,1,1.0,991,185.0,305,164,1.0,79
22K555,Brooklyn College Academy,22,11211,1,1.0,2698,911.0,170,228,1.0,79
21K468,Kingsborough Early College School,21,11211,1,1.0,1229,429.0,110,122,1.0,79
20K445,New Utrecht High School,20,11211,1,1.0,4568,1443.0,630,730,1.0,79
20K505,Franklin Delano Roosevelt High School,20,11211,1,1.0,3723,924.0,710,852,1.0,79
22K425,James Madison High School,22,11211,1,1.0,6968,2801.0,837,940,1.0,79
32K545,EBC High School for Public Service - Bushwick,32,11211,1,1.0,467,75.0,126,6,1.0,79
21K337,International High School at Lafayette,21,11211,1,1.0,327,76.0,90,35,1.0,79
21K620,William E. Grady Career and Technical Education High School,21,11211,1,1.0,970,205.0,305,214,1.0,79
32K549,The Brooklyn School for Social Justice,32,11211,1,1.0,425,47.0,120,6,1.0,79
21K410,Abraham Lincoln High School,21,11211,1,1.0,2225,539.0,741,604,1.0,79
32K552,The Academy of Urban Planning and Engineering,32,11211,1,1.0,737,128.0,113,6,1.0,79
28Q167,Metropolitan Expeditionary Learning School,28,11211,1,1.0,1254,467.0,125,141,1.0,79
23K644,Eagle Academy for Young Men II,23,11211,1,1.0,554,179.0,92,139,1.0,79
31R080,The Michael J. Petrides School,31,11211,1,1.0,724,274.0,128,188,1.0,79
27Q650,"High School for Construction Trades, Engineering and Architecture",27,11211,1,1.0,3028,1209.0,247,311,1.0,79
27Q480,John Adams High School,27,11211,1,1.0,2490,480.0,636,644,1.0,79
27Q475,Richmond Hill High School,27,11211,1,1.0,1397,386.0,371,423,1.0,79
18K637,Academy for Conservation and the Environment,18,11211,1,1.0,727,92.0,170,217,1.0,79
28Q505,Hillcrest High School,28,11211,1,1.0,2316,496.0,730,517,1.0,79
25Q425,John Bowne High School,25,11211,1,1.0,3116,720.0,783,809,1.0,79
29Q327,Eagle Academy for Young Men III,29,11211,1,1.0,324,112.0,120,6,1.0,79
30Q258,Energy Tech High School,30,11211,1,1.0,1535,348.0,108,145,1.0,79
25Q252,"Queens School of Inquiry, The",25,11211,1,1.0,508,161.0,89,107,1.0,79
31R460,Susan E. Wagner High School,31,11211,1,1.0,2611,968.0,660,631,1.0,79
30Q367,Motion Picture Tech High School,30,11211,1,1.0,538,133.0,200,6,1.0,79
24Q530,International High School at LaGuardia Community College,24,11211,1,1.0,1236,505.0,119,114,1.0,79
24Q520,Middle College High School at LaGuardia Community College,24,11211,1,1.0,1826,552.0,97,118,1.0,79
30Q445,William Cullen Bryant High School,30,11211,1,1.0,1681,297.0,435,349,1.0,79
30Q450,Long Island City High School,30,11211,1,1.0,1827,403.0,790,432,1.0,79
24Q267,High School of Applied Communication,24,11211,1,1.0,557,75.0,145,6,1.0,79
24Q264,Academy of Finance and Enterprise,24,11211,1,1.0,2163,546.0,124,151,1.0,79
23K697,Teachers Preparatory High School,23,11211,1,1.0,187,35.0,90,6,1.0,79
28Q284,York Early College Academy,28,11211,1,1.0,1602,580.0,81,91,1.0,79
30Q580,Baccalaureate School for Global Education,30,11211,1,1.0,1732,937.0,97,94,1.0,79
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24,11211,1,1.0,1368,247.0,120,161,1.0,79
18K633,High School for Medical Professions,18,11211,1,1.0,666,99.0,108,116,1.0,79
01M292,Orchard Collegiate Academy,1,11211,1,1.0,280,71.0,90,6,1.0,79
17K745,Brooklyn Institute for Liberal Arts,17,11211,1,1.0,761,109.0,175,158,1.0,79
03M494,High School of Arts and Technology,3,11211,1,1.0,1037,132.0,140,6,1.0,79
03M492,"High School for Law, Advocacy and Community Justice",3,11211,1,1.0,920,170.0,220,6,1.0,79
03M417,Frank McCourt High School,3,11211,1,1.0,1253,345.0,120,170,1.0,79
03M307,"Urban Assembly School for Media Studies, The",3,11211,1,1.0,328,71.0,126,109,1.0,79
03M291,West End Secondary School,3,11211,1,1.0,1209,392.0,105,146,1.0,79
02M615,Chelsea Career and Technical Education High School,2,11211,1,1.0,821,118.0,152,6,1.0,79
02M580,Richard R. Green High School of Teaching,2,11211,1,1.0,1291,154.0,160,6,1.0,79
