School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
21K410,Abraham Lincoln High School,21,MANDARIN,39,11.0,2225.0,539.0,741.0,604.0,3.1025641025641026,54
25Q252,"Queens School of Inquiry, The",25,MANDARIN,16,7.0,508.0,161.0,89.0,107.0,3.0625,55
02M600,The High School of Fashion Industries,2,MANDARIN,13,6.0,2046.0,720.0,475.0,395.0,2.769230769230769,56
04M555,Central Park East High School,4,MANDARIN,44,11.0,4762.0,1538.0,125.0,215.0,2.75,57
21K690,Brooklyn Studio Secondary School,21,MANDARIN,41,10.0,844.0,281.0,102.0,133.0,2.4390243902439024,58
31R064,Gaynor McCown Expeditionary Learning School,31,MANDARIN,24,7.0,777.0,364.0,146.0,171.0,2.0416666666666665,59
30Q575,Academy of American Studies,30,MANDARIN,42,9.0,2727.0,819.0,170.0,224.0,1.9285714285714286,60
31R445,Port Richmond High School,31,MANDARIN,26,7.0,1267.0,334.0,564.0,435.0,1.8846153846153846,61
24Q600,Queens Technical High School,24,MANDARIN,44,9.0,3942.0,1196.0,350.0,423.0,1.8409090909090908,62
02M439,Manhattan Village Academy,2,MANDARIN,68,11.0,3002.0,860.0,100.0,201.0,1.7794117647058822,63
13K595,Bedford Academy High School,13,MANDARIN,28,7.0,2464.0,599.0,81.0,114.0,1.75,64
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,MANDARIN,21,6.0,837.0,124.0,108.0,6.0,1.7142857142857142,65
24Q264,Academy of Finance and Enterprise,24,MANDARIN,48,9.0,2163.0,546.0,124.0,151.0,1.6875,66
25Q460,Flushing High School,25,MANDARIN,61,10.0,1592.0,289.0,419.0,419.0,1.639344262295082,67
02M294,Essex Street Academy,2,MANDARIN,35,7.0,2478.0,562.0,90.0,125.0,1.4,68
25Q263,Flushing International High School,25,MANDARIN,26,6.0,576.0,182.0,90.0,90.0,1.3846153846153846,69
15K667,Sunset Park High School,15,MANDARIN,65,9.0,989.0,260.0,354.0,6.0,1.2461538461538462,70
31R450,Curtis High School,31,MANDARIN,31,6.0,1967.0,690.0,804.0,754.0,1.1612903225806452,71
25Q670,Robert F. Kennedy Community High School,25,MANDARIN,33,6.0,1012.0,254.0,150.0,223.0,1.0909090909090908,72
02M420,High School for Health Professions and Human Services,2,MANDARIN,39,6.0,2991.0,776.0,477.0,590.0,0.9230769230769231,73
13K350,Urban Assembly School of Music and Art,13,MANDARIN,6,1.0,494.0,52.0,108.0,6.0,0.16666666666666666,74
29Q313,Benjamin Franklin High School for Finance & Information Technology,29,MANDARIN,6,1.0,735.0,122.0,108.0,6.0,0.16666666666666666,74
16K688,The Brooklyn Academy of Global Finance,16,MANDARIN,6,1.0,469.0,56.0,108.0,6.0,0.16666666666666666,74
14K454,The Williamsburg High School of Art and Technology,14,MANDARIN,6,1.0,893.0,129.0,116.0,120.0,0.16666666666666666,74
31R600,Ralph R. McKee Career and Technical Education High School,31,MANDARIN,6,1.0,620.0,198.0,316.0,180.0,0.16666666666666666,74
02M408,Professional Performing Arts High School,2,MANDARIN,6,1.0,1255.0,378.0,128.0,180.0,0.16666666666666666,74
27Q334,Epic High School - North,27,MANDARIN,6,1.0,735.0,169.0,70.0,91.0,0.16666666666666666,74
15K448,Brooklyn Collaborative Studies,15,MANDARIN,7,1.0,693.0,99.0,90.0,110.0,0.14285714285714285,81
21K337,International High School at Lafayette,21,MANDARIN,7,1.0,327.0,76.0,90.0,35.0,0.14285714285714285,81
02M399,The High School For Language And Diplomacy,2,MANDARIN,7,1.0,385.0,36.0,134.0,6.0,0.14285714285714285,81
02M394,Emma Lazarus High School,2,MANDARIN,7,1.0,134.0,19.0,60.0,1.0,0.14285714285714285,81
02M519,Talent Unlimited High School,2,MANDARIN,7,1.0,1599.0,468.0,152.0,213.0,0.14285714285714285,81
13K483,The Urban Assembly School for Law and Justice,13,MANDARIN,7,1.0,593.0,105.0,115.0,6.0,0.14285714285714285,81
15K463,Cyberarts Studio Academy,15,MANDARIN,7,1.0,256.0,30.0,125.0,6.0,0.14285714285714285,81
02M407,Institute for Collaborative Education,2,MANDARIN,7,1.0,836.0,263.0,61.0,73.0,0.14285714285714285,81
19K618,Academy of Innovative Technology,19,MANDARIN,7,1.0,1048.0,183.0,115.0,169.0,0.14285714285714285,81
28Q350,Jamaica Gateway to the Sciences,28,MANDARIN,8,1.0,1005.0,210.0,150.0,184.0,0.125,90
02M533,Union Square Academy for Health Sciences,2,MANDARIN,8,1.0,834.0,154.0,163.0,143.0,0.125,90
01M515,Lower East Side Preparatory High School,1,MANDARIN,8,1.0,317.0,89.0,75.0,6.0,0.125,90
17K590,Medgar Evers College Preparatory School,17,MANDARIN,8,1.0,2078.0,676.0,220.0,237.0,0.125,90
02M308,Lower Manhattan Arts Academy,2,MANDARIN,8,1.0,524.0,69.0,95.0,6.0,0.125,90
17K600,Clara Barton High School,17,MANDARIN,8,1.0,1276.0,355.0,434.0,6.0,0.125,90
27Q308,Robert H. Goddard High School of Communication Arts and Technology,27,MANDARIN,8,1.0,1222.0,468.0,140.0,181.0,0.125,90
14K558,Williamsburg High School for Architecture and Design,14,MANDARIN,9,1.0,1223.0,253.0,155.0,212.0,0.1111111111111111,97
13K412,Brooklyn Community Arts & Media High School (BCAM),13,MANDARIN,9,1.0,702.0,113.0,142.0,6.0,0.1111111111111111,97
32K554,All City Leadership Secondary School,32,MANDARIN,9,1.0,911.0,247.0,62.0,62.0,0.1111111111111111,97
15K429,Digital Arts and Cinema Technology High School,15,MANDARIN,9,1.0,579.0,105.0,90.0,94.0,0.1111111111111111,97
04M495,Park East High School,4,MANDARIN,9,1.0,2653.0,739.0,100.0,166.0,0.1111111111111111,97
17K408,Academy of Hospitality and Tourism,17,MANDARIN,9,1.0,571.0,89.0,118.0,6.0,0.1111111111111111,97
02M615,Chelsea Career and Technical Education High School,2,MANDARIN,9,1.0,821.0,118.0,152.0,6.0,0.1111111111111111,97
28Q328,High School for Community Leadership,28,MANDARIN,10,1.0,671.0,160.0,150.0,231.0,0.1,104
13K605,George Westinghouse Career and Technical Education High School,13,MANDARIN,10,1.0,1254.0,203.0,254.0,194.0,0.1,104
02M534,Harvest Collegiate High School,2,MANDARIN,10,1.0,1116.0,115.0,116.0,6.0,0.1,104
21K348,High School of Sports Management,21,MANDARIN,10,1.0,386.0,75.0,176.0,6.0,0.1,104
12X641,Bard High School Early College Bronx,12,MANDARIN,11,1.0,1391.0,613.0,100.0,106.0,0.09090909090909091,108
17K547,Brooklyn Academy of Science and the Environment,17,MANDARIN,11,1.0,373.0,53.0,108.0,6.0,0.09090909090909091,108
28Q284,York Early College Academy,28,MANDARIN,11,1.0,1602.0,580.0,81.0,91.0,0.09090909090909091,108
13K439,Brooklyn International High School,13,MANDARIN,11,1.0,409.0,71.0,81.0,53.0,0.09090909090909091,108
02M543,New Design High School,2,MANDARIN,11,1.0,852.0,157.0,125.0,145.0,0.09090909090909091,108
02M580,Richard R. Green High School of Teaching,2,MANDARIN,12,1.0,1291.0,154.0,160.0,6.0,0.08333333333333333,113
25Q240,Veritas Academy,25,MANDARIN,12,1.0,526.0,96.0,130.0,6.0,0.08333333333333333,113
30Q258,Energy Tech High School,30,MANDARIN,12,1.0,1535.0,348.0,108.0,145.0,0.08333333333333333,113
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24,MANDARIN,12,1.0,1368.0,247.0,120.0,161.0,0.08333333333333333,113
21K572,Leaders High School,21,MANDARIN,12,1.0,462.0,119.0,110.0,141.0,0.08333333333333333,113
20K609,Urban Assembly School for Leadership and Empowerment,20,MANDARIN,12,1.0,278.0,74.0,100.0,132.0,0.08333333333333333,113
28Q680,Queens Gateway to Health Sciences Secondary School,28,MANDARIN,12,1.0,1238.0,384.0,108.0,147.0,0.08333333333333333,113
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,MANDARIN,12,1.0,1239.0,274.0,108.0,160.0,0.08333333333333333,113
28Q167,Metropolitan Expeditionary Learning School,28,MANDARIN,13,1.0,1254.0,467.0,125.0,141.0,0.07692307692307693,121
01M450,East Side Community School,1,MANDARIN,14,1.0,1142.0,328.0,95.0,117.0,0.07142857142857142,122
02M507,Urban Assembly Gateway School for Technology,2,MANDARIN,14,1.0,1299.0,278.0,108.0,146.0,0.07142857142857142,122
15K462,John Jay School for Law,15,MANDARIN,15,1.0,1012.0,184.0,125.0,6.0,0.06666666666666667,124
30Q450,Long Island City High School,30,MANDARIN,15,1.0,1827.0,403.0,790.0,432.0,0.06666666666666667,124
27Q480,John Adams High School,27,MANDARIN,15,1.0,2490.0,480.0,636.0,644.0,0.06666666666666667,124
17K543,"Science, Technology and Research Early College High School at Erasmus",17,MANDARIN,15,1.0,790.0,197.0,130.0,145.0,0.06666666666666667,124
02M282,Urban Assembly Maker Academy,2,MANDARIN,15,1.0,1074.0,175.0,150.0,216.0,0.06666666666666667,124
02M280,Manhattan Early College School for Advertising,2,MANDARIN,15,1.0,572.0,88.0,112.0,6.0,0.06666666666666667,124
17K528,The High School for Global Citizenship,17,MANDARIN,15,1.0,524.0,55.0,100.0,63.0,0.06666666666666667,124
32K168,The Brooklyn School for Math and Research,32,MANDARIN,15,1.0,710.0,99.0,108.0,148.0,0.06666666666666667,124
02M392,Manhattan Business Academy,2,MANDARIN,16,1.0,1321.0,191.0,161.0,6.0,0.0625,132
24Q520,Middle College High School at LaGuardia Community College,24,MANDARIN,16,1.0,1826.0,552.0,97.0,118.0,0.0625,132
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13,MANDARIN,16,1.0,909.0,111.0,258.0,143.0,0.0625,132
26Q435,Martin Van Buren High School,26,MANDARIN,16,1.0,1084.0,217.0,352.0,273.0,0.0625,132
28Q505,Hillcrest High School,28,MANDARIN,16,1.0,2316.0,496.0,730.0,517.0,0.0625,132
01M292,Orchard Collegiate Academy,1,MANDARIN,17,1.0,280.0,71.0,90.0,6.0,0.058823529411764705,137
31R080,The Michael J. Petrides School,31,MANDARIN,17,1.0,724.0,274.0,128.0,188.0,0.058823529411764705,137
25Q285,World Journalism Preparatory: A College Board School,25,MANDARIN,17,1.0,448.0,162.0,90.0,139.0,0.058823529411764705,137
26Q315,Business Technology Early College High School,26,MANDARIN,19,1.0,1032.0,289.0,180.0,272.0,0.05263157894736842,140
02M400,High School for Environmental Studies,2,MANDARIN,20,1.0,2558.0,395.0,344.0,385.0,0.05,141
30Q445,William Cullen Bryant High School,30,MANDARIN,22,1.0,1681.0,297.0,435.0,349.0,0.045454545454545456,142
02M298,Pace High School,2,MANDARIN,23,1.0,1172.0,169.0,190.0,177.0,0.043478260869565216,143
02M546,Academy for Software Engineering,2,MANDARIN,24,1.0,1992.0,388.0,125.0,201.0,0.041666666666666664,144
24Q293,Civic Leadership Academy,24,MANDARIN,24,1.0,1157.0,291.0,142.0,191.0,0.041666666666666664,144
15K656,Brooklyn High School of the Arts,15,MANDARIN,27,1.0,2104.0,574.0,254.0,272.0,0.037037037037037035,146
02M489,High School of Economics and Finance,2,MANDARIN,32,1.0,1374.0,223.0,230.0,6.0,0.03125,147
24Q485,Grover Cleveland High School,24,MANDARIN,34,1.0,1552.0,359.0,420.0,437.0,0.029411764705882353,148
24Q455,Newtown High School,24,MANDARIN,42,1.0,1328.0,243.0,419.0,346.0,0.023809523809523808,149
05M692,"High School for Mathematics, Science and Engineering at City College",5,MANDARIN,728,,15039.0,,109.0,142.0,0.0,150
