School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
30Q575,Academy of American Studies,30,CHINESE/ANY,29,10.0,2727.0,819.0,170.0,224.0,3.4482758620689653,51
21K410,Abraham Lincoln High School,21,CHINESE/ANY,46,12.0,2225.0,539.0,741.0,604.0,3.130434782608696,52
02M376,NYC iSchool,2,CHINESE/ANY,32,10.0,2459.0,931.0,118.0,158.0,3.125,53
02M414,N.Y.C. Museum School,2,CHINESE/ANY,47,11.0,3022.0,865.0,150.0,254.0,2.574468085106383,54
27Q323,Scholars' Academy,27,CHINESE/ANY,14,6.0,1065.0,580.0,154.0,186.0,2.5714285714285716,55
25Q285,World Journalism Preparatory: A College Board School,25,CHINESE/ANY,25,8.0,448.0,162.0,90.0,139.0,2.56,56
31R080,The Michael J. Petrides School,31,CHINESE/ANY,26,8.0,724.0,274.0,128.0,188.0,2.4615384615384617,57
02M294,Essex Street Academy,2,CHINESE/ANY,33,9.0,2478.0,562.0,90.0,125.0,2.4545454545454546,58
24Q455,Newtown High School,24,CHINESE/ANY,20,7.0,1328.0,243.0,419.0,346.0,2.45,59
21K690,Brooklyn Studio Secondary School,21,CHINESE/ANY,35,9.0,844.0,281.0,102.0,133.0,2.3142857142857145,60
02M413,School of the Future High School,2,CHINESE/ANY,30,8.0,1741.0,485.0,108.0,152.0,2.1333333333333333,61
28Q328,High School for Community Leadership,28,CHINESE/ANY,17,6.0,671.0,160.0,150.0,231.0,2.1176470588235294,62
27Q650,"High School for Construction Trades, Engineering and Architecture",27,CHINESE/ANY,31,8.0,3028.0,1209.0,247.0,311.0,2.064516129032258,63
28Q686,Queens Metropolitan High School,28,CHINESE/ANY,18,6.0,2321.0,931.0,279.0,279.0,2.0,64
01M450,East Side Community School,1,CHINESE/ANY,19,6.0,1142.0,328.0,95.0,117.0,1.894736842105263,65
02M546,Academy for Software Engineering,2,CHINESE/ANY,20,6.0,1992.0,388.0,125.0,201.0,1.8,66
24Q550,High School for Arts and Business,24,CHINESE/ANY,38,8.0,2257.0,552.0,191.0,255.0,1.6842105263157894,67
24Q600,Queens Technical High School,24,CHINESE/ANY,30,7.0,3942.0,1196.0,350.0,423.0,1.6333333333333333,68
02M260,The Clinton School,2,CHINESE/ANY,34,7.0,2837.0,1151.0,134.0,221.0,1.4411764705882353,69
13K595,Bedford Academy High School,13,CHINESE/ANY,26,6.0,2464.0,599.0,81.0,114.0,1.3846153846153846,70
25Q252,"Queens School of Inquiry, The",25,CHINESE/ANY,27,6.0,508.0,161.0,89.0,107.0,1.3333333333333333,71
25Q460,Flushing High School,25,CHINESE/ANY,54,8.0,1592.0,289.0,419.0,419.0,1.1851851851851851,72
21K344,Rachel Carson High School for Coastal Studies,21,CHINESE/ANY,6,1.0,469.0,162.0,160.0,200.0,0.16666666666666666,73
27Q302,"Queens High School for Information, Research, and Technology",27,CHINESE/ANY,6,1.0,671.0,160.0,130.0,177.0,0.16666666666666666,73
07X495,University Heights Secondary School,7,CHINESE/ANY,6,1.0,2181.0,787.0,140.0,203.0,0.16666666666666666,73
28Q310,Queens Collegiate: A College Board School,28,CHINESE/ANY,6,1.0,453.0,67.0,115.0,77.0,0.16666666666666666,73
08X405,Herbert H. Lehman High School,8,CHINESE/ANY,6,1.0,2078.0,405.0,528.0,479.0,0.16666666666666666,73
04M495,Park East High School,4,CHINESE/ANY,6,1.0,2653.0,739.0,100.0,166.0,0.16666666666666666,73
29Q313,Benjamin Franklin High School for Finance & Information Technology,29,CHINESE/ANY,6,1.0,735.0,122.0,108.0,6.0,0.16666666666666666,73
01M515,Lower East Side Preparatory High School,1,CHINESE/ANY,6,1.0,317.0,89.0,75.0,6.0,0.16666666666666666,73
02M280,Manhattan Early College School for Advertising,2,CHINESE/ANY,6,1.0,572.0,88.0,112.0,6.0,0.16666666666666666,73
13K439,Brooklyn International High School,13,CHINESE/ANY,6,1.0,409.0,71.0,81.0,53.0,0.16666666666666666,73
03M859,Special Music School,3,CHINESE/ANY,6,1.0,482.0,165.0,50.0,64.0,0.16666666666666666,73
30Q450,Long Island City High School,30,CHINESE/ANY,6,1.0,1827.0,403.0,790.0,432.0,0.16666666666666666,73
24Q520,Middle College High School at LaGuardia Community College,24,CHINESE/ANY,6,1.0,1826.0,552.0,97.0,118.0,0.16666666666666666,73
19K639,Brooklyn Lab School,19,CHINESE/ANY,6,1.0,980.0,152.0,102.0,143.0,0.16666666666666666,73
24Q236,International High School for Health Sciences,24,CHINESE/ANY,6,1.0,485.0,112.0,81.0,68.0,0.16666666666666666,73
30Q286,"Young Women's Leadership School, Astoria",30,CHINESE/ANY,6,1.0,453.0,156.0,81.0,103.0,0.16666666666666666,73
11X299,Astor Collegiate Academy,11,CHINESE/ANY,6,1.0,2199.0,342.0,120.0,189.0,0.16666666666666666,73
02M534,Harvest Collegiate High School,2,CHINESE/ANY,7,1.0,1116.0,115.0,116.0,6.0,0.14285714285714285,90
02M425,Leadership and Public Service High School,2,CHINESE/ANY,7,1.0,387.0,36.0,145.0,52.0,0.14285714285714285,90
02M407,Institute for Collaborative Education,2,CHINESE/ANY,7,1.0,836.0,263.0,61.0,73.0,0.14285714285714285,90
09X260,Bronx Center for Science and Mathematics,9,CHINESE/ANY,7,1.0,2530.0,621.0,108.0,201.0,0.14285714285714285,90
02M392,Manhattan Business Academy,2,CHINESE/ANY,7,1.0,1321.0,191.0,161.0,6.0,0.14285714285714285,90
30Q301,Academy for Careers in Television and Film,30,CHINESE/ANY,7,1.0,1410.0,330.0,151.0,200.0,0.14285714285714285,90
02M282,Urban Assembly Maker Academy,2,CHINESE/ANY,7,1.0,1074.0,175.0,150.0,216.0,0.14285714285714285,90
02M615,Chelsea Career and Technical Education High School,2,CHINESE/ANY,8,1.0,821.0,118.0,152.0,6.0,0.125,97
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",26,CHINESE/ANY,8,1.0,671.0,231.0,258.0,222.0,0.125,97
13K605,George Westinghouse Career and Technical Education High School,13,CHINESE/ANY,8,1.0,1254.0,203.0,254.0,194.0,0.125,97
02M305,"Urban Assembly Academy of Government and Law, The",2,CHINESE/ANY,8,1.0,573.0,75.0,100.0,6.0,0.125,97
02M580,Richard R. Green High School of Teaching,2,CHINESE/ANY,8,1.0,1291.0,154.0,160.0,6.0,0.125,97
02M600,The High School of Fashion Industries,2,CHINESE/ANY,9,1.0,2046.0,720.0,475.0,395.0,0.1111111111111111,102
27Q308,Robert H. Goddard High School of Communication Arts and Technology,27,CHINESE/ANY,9,1.0,1222.0,468.0,140.0,181.0,0.1111111111111111,102
02M533,Union Square Academy for Health Sciences,2,CHINESE/ANY,9,1.0,834.0,154.0,163.0,143.0,0.1111111111111111,102
02M298,Pace High School,2,CHINESE/ANY,9,1.0,1172.0,169.0,190.0,177.0,0.1111111111111111,102
19K618,Academy of Innovative Technology,19,CHINESE/ANY,9,1.0,1048.0,183.0,115.0,169.0,0.1111111111111111,102
21K620,William E. Grady Career and Technical Education High School,21,CHINESE/ANY,10,1.0,970.0,205.0,305.0,214.0,0.1,107
20K609,Urban Assembly School for Leadership and Empowerment,20,CHINESE/ANY,10,1.0,278.0,74.0,100.0,132.0,0.1,107
26Q435,Martin Van Buren High School,26,CHINESE/ANY,11,1.0,1084.0,217.0,352.0,273.0,0.09090909090909091,109
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,CHINESE/ANY,11,1.0,1239.0,274.0,108.0,160.0,0.09090909090909091,109
32K554,All City Leadership Secondary School,32,CHINESE/ANY,11,1.0,911.0,247.0,62.0,62.0,0.09090909090909091,109
17K543,"Science, Technology and Research Early College High School at Erasmus",17,CHINESE/ANY,12,1.0,790.0,197.0,130.0,145.0,0.08333333333333333,112
21K348,High School of Sports Management,21,CHINESE/ANY,12,1.0,386.0,75.0,176.0,6.0,0.08333333333333333,112
02M507,Urban Assembly Gateway School for Technology,2,CHINESE/ANY,12,1.0,1299.0,278.0,108.0,146.0,0.08333333333333333,112
02M543,New Design High School,2,CHINESE/ANY,12,1.0,852.0,157.0,125.0,145.0,0.08333333333333333,112
26Q315,Business Technology Early College High School,26,CHINESE/ANY,13,1.0,1032.0,289.0,180.0,272.0,0.07692307692307693,116
02M400,High School for Environmental Studies,2,CHINESE/ANY,13,1.0,2558.0,395.0,344.0,385.0,0.07692307692307693,116
21K572,Leaders High School,21,CHINESE/ANY,13,1.0,462.0,119.0,110.0,141.0,0.07692307692307693,116
14K558,Williamsburg High School for Architecture and Design,14,CHINESE/ANY,13,1.0,1223.0,253.0,155.0,212.0,0.07692307692307693,116
24Q485,Grover Cleveland High School,24,CHINESE/ANY,13,1.0,1552.0,359.0,420.0,437.0,0.07692307692307693,116
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24,CHINESE/ANY,13,1.0,1368.0,247.0,120.0,161.0,0.07692307692307693,116
21K337,International High School at Lafayette,21,CHINESE/ANY,14,1.0,327.0,76.0,90.0,35.0,0.07142857142857142,122
30Q445,William Cullen Bryant High School,30,CHINESE/ANY,14,1.0,1681.0,297.0,435.0,349.0,0.07142857142857142,122
01M292,Orchard Collegiate Academy,1,CHINESE/ANY,14,1.0,280.0,71.0,90.0,6.0,0.07142857142857142,122
15K656,Brooklyn High School of the Arts,15,CHINESE/ANY,14,1.0,2104.0,574.0,254.0,272.0,0.07142857142857142,122
27Q480,John Adams High School,27,CHINESE/ANY,14,1.0,2490.0,480.0,636.0,644.0,0.07142857142857142,122
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13,CHINESE/ANY,15,1.0,909.0,111.0,258.0,143.0,0.06666666666666667,127
28Q284,York Early College Academy,28,CHINESE/ANY,15,1.0,1602.0,580.0,81.0,91.0,0.06666666666666667,127
15K667,Sunset Park High School,15,CHINESE/ANY,16,1.0,989.0,260.0,354.0,6.0,0.0625,129
24Q293,Civic Leadership Academy,24,CHINESE/ANY,17,1.0,1157.0,291.0,142.0,191.0,0.058823529411764705,130
31R445,Port Richmond High School,31,CHINESE/ANY,20,1.0,1267.0,334.0,564.0,435.0,0.05,131
30Q258,Energy Tech High School,30,CHINESE/ANY,21,1.0,1535.0,348.0,108.0,145.0,0.047619047619047616,132
25Q240,Veritas Academy,25,CHINESE/ANY,21,1.0,526.0,96.0,130.0,6.0,0.047619047619047616,132
