category1,category2,correlation
15,21,0.5498744309103673
13,15,0.5426066192958434
13,21,0.5083471328131445
15,20,0.5016276437409116
28,29,0.4788864064789467
20,21,0.47061719239364036
13,14,0.46588599931885866
13,20,0.46338227984202124
21,31,0.46304956197234737
15,31,0.46225188434925263
